LAMMPS Description 
 
	 600 atoms 
	 458 412 3 0 -250.0 -69.75 0.0 0 0 0 
	 459 412 3 0 -244.75 -75.0 0.0 0 0 0 
	 460 412 3 0 -250.0 -80.25 0.0 0 0 0 
	 461 413 2 0 -187.5 -275.0 0.0 0 0 0 
	 462 413 3 0 -192.75 -275.0 0.0 0 0 0 
	 463 413 3 0 -187.5 -269.75 0.0 0 0 0 
	 464 413 3 0 -182.25 -275.0 0.0 0 0 0 
	 465 413 3 0 -187.5 -280.25 0.0 0 0 0 
	 466 414 2 0 37.5 187.5 0.0 0 0 0 
	 467 414 3 0 32.25 187.5 0.0 0 0 0 
	 468 414 3 0 37.5 192.75 0.0 0 0 0 
	 469 414 3 0 42.75 187.5 0.0 0 0 0 
	 470 414 3 0 37.5 182.25 0.0 0 0 0 
	 471 415 2 0 -250.0 0.0 0.0 0 0 0 
	 472 415 3 0 -255.25 0.0 0.0 0 0 0 
	 473 415 3 0 -250.0 5.25 0.0 0 0 0 
	 474 415 3 0 -244.75 0.0 0.0 0 0 0 
	 475 415 3 0 -250.0 -5.25 0.0 0 0 0 
	 476 416 2 0 287.5 -225.0 0.0 0 0 0 
	 477 416 3 0 282.25 -225.0 0.0 0 0 0 
	 478 416 3 0 287.5 -219.75 0.0 0 0 0 
	 479 416 3 0 292.75 -225.0 0.0 0 0 0 
	 480 416 3 0 287.5 -230.25 0.0 0 0 0 
	 481 417 2 0 -275.0 -87.5 0.0 0 0 0 
	 482 417 3 0 -280.25 -87.5 0.0 0 0 0 
	 483 417 3 0 -275.0 -82.25 0.0 0 0 0 
	 484 417 3 0 -269.75 -87.5 0.0 0 0 0 
	 485 417 3 0 -275.0 -92.75 0.0 0 0 0 
	 486 418 2 0 137.5 275.0 0.0 0 0 0 
	 487 418 3 0 132.25 275.0 0.0 0 0 0 
	 488 418 3 0 137.5 280.25 0.0 0 0 0 
	 489 418 3 0 142.75 275.0 0.0 0 0 0 
	 490 418 3 0 137.5 269.75 0.0 0 0 0 
	 491 419 2 0 -262.5 -275.0 0.0 0 0 0 
	 492 419 3 0 -267.75 -275.0 0.0 0 0 0 
	 493 419 3 0 -262.5 -269.75 0.0 0 0 0 
	 494 419 3 0 -257.25 -275.0 0.0 0 0 0 
	 495 419 3 0 -262.5 -280.25 0.0 0 0 0 
	 496 420 2 0 -87.5 275.0 0.0 0 0 0 
	 497 420 3 0 -92.75 275.0 0.0 0 0 0 
	 498 420 3 0 -87.5 280.25 0.0 0 0 0 
	 499 420 3 0 -82.25 275.0 0.0 0 0 0 
	 500 420 3 0 -87.5 269.75 0.0 0 0 0 
	 501 421 2 0 12.5 -137.5 0.0 0 0 0 
	 502 421 3 0 7.25 -137.5 0.0 0 0 0 
	 503 421 3 0 12.5 -132.25 0.0 0 0 0 
	 504 421 3 0 17.75 -137.5 0.0 0 0 0 
	 505 421 3 0 12.5 -142.75 0.0 0 0 0 
	 506 422 2 0 -262.5 75.0 0.0 0 0 0 
	 507 422 3 0 -267.75 75.0 0.0 0 0 0 
	 508 422 3 0 -262.5 80.25 0.0 0 0 0 
	 509 422 3 0 -257.25 75.0 0.0 0 0 0 
	 510 422 3 0 -262.5 69.75 0.0 0 0 0 
	 511 423 2 0 300.0 -25.0 0.0 0 0 0 
	 512 423 3 0 294.75 -25.0 0.0 0 0 0 
	 513 423 3 0 300.0 -19.75 0.0 0 0 0 
	 514 423 3 0 305.25 -25.0 0.0 0 0 0 
	 515 423 3 0 300.0 -30.25 0.0 0 0 0 
	 516 424 2 0 -150.0 -262.5 0.0 0 0 0 
	 517 424 3 0 -155.25 -262.5 0.0 0 0 0 
	 518 424 3 0 -150.0 -257.25 0.0 0 0 0 
	 519 424 3 0 -144.75 -262.5 0.0 0 0 0 
	 520 424 3 0 -150.0 -267.75 0.0 0 0 0 
	 521 425 2 0 -100.0 287.5 0.0 0 0 0 
	 522 425 3 0 -105.25 287.5 0.0 0 0 0 
	 523 425 3 0 -100.0 292.75 0.0 0 0 0 
	 524 425 3 0 -94.75 287.5 0.0 0 0 0 
	 525 425 3 0 -100.0 282.25 0.0 0 0 0 
	 526 426 2 0 162.5 -37.5 0.0 0 0 0 
	 527 426 3 0 157.25 -37.5 0.0 0 0 0 
	 528 426 3 0 162.5 -32.25 0.0 0 0 0 
	 529 426 3 0 167.75 -37.5 0.0 0 0 0 
	 530 426 3 0 162.5 -42.75 0.0 0 0 0 
	 531 427 2 0 -37.5 87.5 0.0 0 0 0 
	 532 427 3 0 -42.75 87.5 0.0 0 0 0 
	 533 427 3 0 -37.5 92.75 0.0 0 0 0 
	 534 427 3 0 -32.25 87.5 0.0 0 0 0 
	 535 427 3 0 -37.5 82.25 0.0 0 0 0 
	 536 428 2 0 175.0 187.5 0.0 0 0 0 
	 537 428 3 0 169.75 187.5 0.0 0 0 0 
	 538 428 3 0 175.0 192.75 0.0 0 0 0 
	 539 428 3 0 180.25 187.5 0.0 0 0 0 
	 540 428 3 0 175.0 182.25 0.0 0 0 0 
	 541 429 2 0 37.5 -50.0 0.0 0 0 0 
	 542 429 3 0 32.25 -50.0 0.0 0 0 0 
	 543 429 3 0 37.5 -44.75 0.0 0 0 0 
	 544 429 3 0 42.75 -50.0 0.0 0 0 0 
	 545 429 3 0 37.5 -55.25 0.0 0 0 0 
	 546 430 2 0 -225.0 300.0 0.0 0 0 0 
	 547 430 3 0 -230.25 300.0 0.0 0 0 0 
	 548 430 3 0 -225.0 305.25 0.0 0 0 0 
	 549 430 3 0 -219.75 300.0 0.0 0 0 0 
	 550 430 3 0 -225.0 294.75 0.0 0 0 0 
	 551 431 2 0 -37.5 75.0 0.0 0 0 0 
	 552 431 3 0 -42.75 75.0 0.0 0 0 0 
	 553 431 3 0 -37.5 80.25 0.0 0 0 0 
	 554 431 3 0 -32.25 75.0 0.0 0 0 0 
	 555 431 3 0 -37.5 69.75 0.0 0 0 0 
	 556 432 2 0 -150.0 262.5 0.0 0 0 0 
	 557 432 3 0 -155.25 262.5 0.0 0 0 0 
	 558 432 3 0 -150.0 267.75 0.0 0 0 0 
	 559 432 3 0 -144.75 262.5 0.0 0 0 0 
	 560 432 3 0 -150.0 257.25 0.0 0 0 0 
	 561 433 2 0 -75.0 -50.0 0.0 0 0 0 
	 562 433 3 0 -80.25 -50.0 0.0 0 0 0 
	 563 433 3 0 -75.0 -44.75 0.0 0 0 0 
	 564 433 3 0 -69.75 -50.0 0.0 0 0 0 
	 565 433 3 0 -75.0 -55.25 0.0 0 0 0 
	 566 434 2 0 200.0 -300.0 0.0 0 0 0 
	 567 434 3 0 194.75 -300.0 0.0 0 0 0 
	 568 434 3 0 200.0 -294.75 0.0 0 0 0 
	 569 434 3 0 205.25 -300.0 0.0 0 0 0 
	 570 434 3 0 200.0 -305.25 0.0 0 0 0 
	 571 435 2 0 137.5 -162.5 0.0 0 0 0 
	 572 435 3 0 132.25 -162.5 0.0 0 0 0 
	 573 435 3 0 137.5 -157.25 0.0 0 0 0 
	 574 435 3 0 142.75 -162.5 0.0 0 0 0 
	 575 435 3 0 137.5 -167.75 0.0 0 0 0 
	 576 436 2 0 -150.0 300.0 0.0 0 0 0 
	 577 436 3 0 -155.25 300.0 0.0 0 0 0 
	 578 436 3 0 -150.0 305.25 0.0 0 0 0 
	 579 436 3 0 -144.75 300.0 0.0 0 0 0 
	 580 436 3 0 -150.0 294.75 0.0 0 0 0 
	 581 437 2 0 25.0 37.5 0.0 0 0 0 
	 582 437 3 0 19.75 37.5 0.0 0 0 0 
	 583 437 3 0 25.0 42.75 0.0 0 0 0 
	 584 437 3 0 30.25 37.5 0.0 0 0 0 
	 585 437 3 0 25.0 32.25 0.0 0 0 0 
	 586 438 2 0 -250.0 -212.5 0.0 0 0 0 
	 587 438 3 0 -255.25 -212.5 0.0 0 0 0 
	 588 438 3 0 -250.0 -207.25 0.0 0 0 0 
	 589 438 3 0 -244.75 -212.5 0.0 0 0 0 
	 590 438 3 0 -250.0 -217.75 0.0 0 0 0 
	 591 439 2 0 50.0 187.5 0.0 0 0 0 
	 592 439 3 0 44.75 187.5 0.0 0 0 0 
	 593 439 3 0 50.0 192.75 0.0 0 0 0 
	 594 439 3 0 55.25 187.5 0.0 0 0 0 
	 595 439 3 0 50.0 182.25 0.0 0 0 0 
	 596 440 2 0 100.0 -50.0 0.0 0 0 0 
	 597 440 3 0 94.75 -50.0 0.0 0 0 0 
	 598 440 3 0 100.0 -44.75 0.0 0 0 0 
	 599 440 3 0 105.25 -50.0 0.0 0 0 0 
	 600 440 3 0 100.0 -55.25 0.0 0 0 0 
